source_audit,sample_token,scene_token,timestamp,cam_front_path,historical_derived_action,reviewed_action,frozen_action,action_match,label_rule_version,action_confidence,boundary_flags,uncertainty_reason,trajectory_points,trajectory_last_t_sec,trajectory_complete,nearby_agent_count,nearby_vru_count,has_vru,cam_front_exists
base,0106a9b8e65f4ad1867b44591aeed8b0,c5224b9b454b4ded9b5d2d2634bbda8a,1538448753547684,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448753512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999844,yes,12,4,yes,yes
base,0402e40724984f3b833496067d46c771,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385104448758,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385104412404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.003755,yes,53,3,yes,yes
base,092051710b7b4d9294e98dcb3f0f7be1,c5224b9b454b4ded9b5d2d2634bbda8a,1538448746548329,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448746512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999255,yes,16,7,yes,yes
base,0d7263a5b8264cad996582d6219ef1f2,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385101947644,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.00212,yes,43,3,yes,yes
base,0fa505e5dd804d3b9f9f076d23b28d6d,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385099400097,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385099362404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.047464,yes,45,3,yes,yes
base,5f3fc3c1d08b47cabc1bbca600abbfa8,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385103447886,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103412404.jpg,accelerate,accelerate,accelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.003739,yes,52,3,yes,yes
base,7ff999a1242e4573a81dd3a6f0c158a2,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385103948321,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103912404.jpg,accelerate,accelerate,accelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.003751,yes,53,3,yes,yes
base,8017a35b9b5e476289a89bd098a4a1d1,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385102447561,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102412404.jpg,accelerate,accelerate,accelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.002619,yes,49,3,yes,yes
base,8580e9a249b64b59bead9d80c0e13e8b,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385102947981,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102912404.jpg,accelerate,accelerate,accelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.002653,yes,52,3,yes,yes
base,f77ef1c17cbf432587d705c88ce76b3b,de7d80a1f5fb4c3e82ce8a4f213b450a,1542800848447981,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800848412460.jpg,accelerate,accelerate,accelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.002162,yes,52,41,yes,yes
