sample_token,scene_token,timestamp,cam_front_path,visualization_path,derived_action,reviewed_action,label_correct,trajectory_alignment_correct,agent_alignment_correct,safety_score_reasonable,error_type,review_note,label_rule_version,safety_rule_version,split,action_confidence,selection_reason,has_vru,safety_status,safety_score,safety_penalty,boundary_flags,uncertainty_reason,nearby_agent_count,trajectory_points,trajectory_delta_x_m,trajectory_delta_y_m,trajectory_path_length_m,approx_delta_speed_mps
0106a9b8e65f4ad1867b44591aeed8b0,c5224b9b454b4ded9b5d2d2634bbda8a,1538448753547684,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448753512460.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/0106a9b8e65f4ad1867b44591aeed8b0_one_page.png,keep,keep,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,high,action_top_up_keep,not_available,not_available,not_available,not_available,,none,12,7,36.03963529301169,-0.241088174,36.04072947590765,-0.123398062
0402e40724984f3b833496067d46c771,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385104448758,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385104412404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/0402e40724984f3b833496067d46c771_one_page.png,keep,keep,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,high,action_top_up_keep,not_available,not_available,not_available,not_available,,none,53,7,24.768871212291202,-0.760568919,24.782069216888257,0.7656189635968698
092051710b7b4d9294e98dcb3f0f7be1,c5224b9b454b4ded9b5d2d2634bbda8a,1538448746548329,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448746512460.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/092051710b7b4d9294e98dcb3f0f7be1_one_page.png,keep,keep,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,high,action_top_up_keep,not_available,not_available,not_available,not_available,,none,16,7,36.82359344178826,-0.134350829,36.82405027151054,-0.659138423
0d7263a5b8264cad996582d6219ef1f2,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385101947644,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101912404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/0d7263a5b8264cad996582d6219ef1f2_one_page.png,keep,keep,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,high,action_top_up_keep,not_available,not_available,not_available,not_available,,none,43,7,20.38300172221004,0.32270270658355804,20.386529344832763,0.2481037678177067
0fa505e5dd804d3b9f9f076d23b28d6d,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385099400097,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385099362404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/0fa505e5dd804d3b9f9f076d23b28d6d_one_page.png,keep,keep,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,high,action_top_up_keep,not_available,not_available,not_available,not_available,,none,45,7,24.977379440263327,-0.166333206,24.978718528500476,-0.630673
5f3fc3c1d08b47cabc1bbca600abbfa8,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385103447886,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103412404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/5f3fc3c1d08b47cabc1bbca600abbfa8_one_page.png,accelerate,accelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,52,7,22.94092497470622,-0.507251953,22.94897311709588,2.178993913818487
7ff999a1242e4573a81dd3a6f0c158a2,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385103948321,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103912404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/7ff999a1242e4573a81dd3a6f0c158a2_one_page.png,accelerate,accelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,53,7,23.98536219651682,-0.787353035,24.00060878893343,1.7264108413415986
8017a35b9b5e476289a89bd098a4a1d1,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385102447561,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102412404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/8017a35b9b5e476289a89bd098a4a1d1_one_page.png,accelerate,accelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,49,7,20.771489635822917,0.10109343200468279,20.772457398028475,1.5793251403408544
8580e9a249b64b59bead9d80c0e13e8b,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385102947981,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102912404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/8580e9a249b64b59bead9d80c0e13e8b_one_page.png,accelerate,accelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,52,7,21.752711186947973,-0.189793638,21.755207366532897,2.2579139241068855
f77ef1c17cbf432587d705c88ce76b3b,de7d80a1f5fb4c3e82ce8a4f213b450a,1542800848447981,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800848412460.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/f77ef1c17cbf432587d705c88ce76b3b_one_page.png,accelerate,accelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,52,7,3.7536642819027497,-0.049725672,3.7540656638479826,2.403613492116212
0307afa1ec7e48ce90295acabf8cb6dd,2fc3753772e241f2ab2cd16a784cc680,1535657113648526,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657113612404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/0307afa1ec7e48ce90295acabf8cb6dd_one_page.png,decelerate,decelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,14,7,4.946717165659846,-0.133752539,4.94887755771162,-1.8117142
12e1aa58e9d04068a33f37b896b901a3,2fc3753772e241f2ab2cd16a784cc680,1535657110651414,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657110612404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/12e1aa58e9d04068a33f37b896b901a3_one_page.png,decelerate,decelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,13,7,10.530374391535071,-0.729329579,10.558443236015234,-1.637587506
252b65dd79ce4712af1b898b64ea3b98,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385101398009,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101362404.jpg,data/outputs/phase_1_7_manual_audit_mini/visualizations/252b65dd79ce4712af1b898b64ea3b98_one_page.png,decelerate,decelerate,yes,yes,yes,not_available,none,none,phase-1.6-meta-action-v0.1,not_available,phase-1.7-mini-audit,medium,rule_boundary_sample,not_available,not_available,not_available,not_available,,trajectory_speed_proxy_only,40,7,21.216122614239836,0.4765280849671383,21.224227754593525,-1.642401831
